Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
скучать_VERB,0.15,0.00045,74,2.22,fpi_lex_повествование.tsv
бесить_VERB,0.14,0.00114,11,5.7,fpi_lex_повествование.tsv
за_ADP,0.12,0.00432,108,21.54,fpi_lex_повествование.tsv
проводить_VERB,-0.12,0.0047,15,23.48,fpi_lex_повествование.tsv
как_ADV,-0.12,0.00557,109,27.79,fpi_lex_повествование.tsv
море_NOUN,-0.11,0.00749,23,37.38,fpi_lex_повествование.tsv
у_ADP,0.14,0.00996,38,49.72,fpi_lex_описание.tsv
ли_PART,0.11,0.01031,18,51.48,fpi_lex_повествование.tsv
совсем_ADV,0.11,0.01031,26,51.47,fpi_lex_повествование.tsv
была_AUX,0.11,0.01039,54,51.88,fpi_lex_повествование.tsv
когда_SCONJ,0.14,0.01173,10,58.57,fpi_lex_описание.tsv
но_CCONJ,0.11,0.01278,196,63.82,fpi_lex_повествование.tsv
хотя_SCONJ,0.1,0.01874,28,93.55,fpi_lex_повествование.tsv
нормальный_ADJ,-0.1,0.01925,37,96.1,fpi_lex_повествование.tsv
где_ADV,0.1,0.02087,19,104.2,fpi_lex_повествование.tsv
мысль_NOUN,0.1,0.02324,12,116.01,fpi_lex_повествование.tsv
они_PRON,-0.12,0.02432,21,121.38,fpi_lex_описание.tsv
весь_DET,-0.1,0.02456,107,122.62,fpi_lex_повествование.tsv
конец_NOUN,0.1,0.02467,12,123.13,fpi_lex_повествование.tsv
чтобы_SCONJ,-0.1,0.02578,32,128.69,fpi_lex_повествование.tsv
какой_DET,-0.12,0.02893,19,144.43,fpi_lex_описание.tsv
отношение_NOUN,0.09,0.02917,10,145.63,fpi_lex_повествование.tsv
принцип_NOUN,-0.09,0.03149,10,157.2,fpi_lex_повествование.tsv
видеться_VERB,-0.09,0.03379,87,168.67,fpi_lex_повествование.tsv
хотеться_VERB,0.09,0.03466,54,173.01,fpi_lex_повествование.tsv
учёба_NOUN,0.09,0.03527,80,176.07,fpi_lex_повествование.tsv
сестра_NOUN,-0.09,0.03877,13,193.52,fpi_lex_повествование.tsv
деньга_NOUN,-0.09,0.03896,12,194.5,fpi_lex_повествование.tsv
постоянно_ADV,0.09,0.03936,10,196.5,fpi_lex_повествование.tsv
сама_ADJ,0.09,0.03953,17,197.32,fpi_lex_повествование.tsv
понимать_VERB,0.09,0.04178,32,208.55,fpi_lex_повествование.tsv
под_ADP,-0.09,0.04375,12,218.38,fpi_lex_повествование.tsv
надеяться_VERB,0.08,0.04797,67,239.49,fpi_lex_повествование.tsv
прийти_VERB,-0.08,0.04825,11,240.84,fpi_lex_повествование.tsv
