Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
бывать_VERB,-0.15,0.00057,10,1.16,fpi_lex_повествование.tsv
что_PRON,-0.14,0.00089,28,1.82,fpi_lex_повествование.tsv
кстати_ADV,0.12,0.00383,14,7.85,fpi_lex_повествование.tsv
соскучиться_VERB,0.2,0.00413,30,4.36,big5_lex_повествование.tsv
стать_VERB,-0.11,0.00795,10,16.3,fpi_lex_повествование.tsv
крутой_ADJ,0.11,0.01338,11,27.41,fpi_lex_повествование.tsv
и_CCONJ,-0.1,0.01607,161,32.92,fpi_lex_повествование.tsv
этот_DET,0.13,0.0195,15,39.96,fpi_lex_описание.tsv
еще_ADV,-0.1,0.02151,30,44.08,fpi_lex_повествование.tsv
вот_PART,-0.1,0.02496,23,51.13,fpi_lex_повествование.tsv
как_SCONJ,0.16,0.02553,23,26.98,big5_lex_повествование.tsv
ты_PRON,0.16,0.02634,55,27.84,big5_lex_повествование.tsv
видеть_VERB,0.09,0.02687,20,55.06,fpi_lex_повествование.tsv
по_ADP,0.15,0.02866,35,30.29,big5_lex_повествование.tsv
но_CCONJ,-0.09,0.03986,62,81.67,fpi_lex_повествование.tsv
хорошо_ADV,0.08,0.04758,14,97.48,fpi_lex_повествование.tsv
